date,khách sạn giá rẻ Đà Nẵng,hotel Sơn Trà,du lịch Đà Nẵng,isPartial
2025-06-08,5,0,95,False
2025-06-15,5,0,83,False
2025-06-22,7,0,87,False
2025-06-29,6,4,89,False
2025-07-06,8,0,98,False
2025-07-13,6,0,100,False
2025-07-20,5,0,88,False
2025-07-27,0,0,83,False
2025-08-03,0,0,87,False
2025-08-10,6,0,75,False
2025-08-17,0,0,71,False
2025-08-24,0,0,63,False
2025-08-31,0,0,54,False
2025-09-07,0,0,52,False
2025-09-14,0,0,47,False
2025-09-21,0,0,52,False
2025-09-28,0,0,49,False
2025-10-05,0,0,56,False
2025-10-12,0,0,56,False
2025-10-19,0,0,50,False
2025-10-26,0,0,45,False
2025-11-02,0,0,43,False
2025-11-09,0,0,49,False
2025-11-16,0,0,42,False
2025-11-23,0,0,44,False
2025-11-30,5,0,49,False
2025-12-07,4,0,44,False
2025-12-14,0,0,57,False
2025-12-21,6,0,57,False
2025-12-28,0,0,72,False
2026-01-04,0,0,50,False
2026-01-11,0,0,42,False
2026-01-18,0,0,40,False
2026-01-25,0,0,39,False
2026-02-01,0,0,32,False
2026-02-08,0,0,35,False
2026-02-15,0,0,39,False
2026-02-22,0,0,76,False
2026-03-01,6,0,83,False
2026-03-08,0,0,68,False
2026-03-15,5,0,79,False
2026-03-22,4,0,73,False
2026-03-29,0,0,71,False
2026-04-05,0,0,66,False
2026-04-12,0,0,64,False
2026-04-19,0,0,82,False
2026-04-26,0,0,84,False
2026-05-03,0,0,77,False
2026-05-10,0,0,79,False
2026-05-17,0,5,76,False
2026-05-24,4,1,84,False
2026-05-31,6,2,84,False
2026-06-07,5,3,91,True
